osm_id	feature_type	name_en	native_names	languages	osm_url
relation/237444	place=town	Clarkston	simiinikem neqeey [Nez Perce]	Nez Perce	https://www.openstreetmap.org/relation/237444
node/2038044428	place=town	Neah Bay	di·ya [Makah]	Makah	https://www.openstreetmap.org/node/2038044428
node/150936508	place=town	Port Angeles	č̕ixʷícən [Klallam]	Klallam	https://www.openstreetmap.org/node/150936508
node/150972576	place=town	Sequim	sxʷčkʷíyəŋ [Klallam]	Klallam	https://www.openstreetmap.org/node/150972576
relation/238066	place=village	Asotin	hesuutin’ [Nez Perce]	Nez Perce	https://www.openstreetmap.org/relation/238066
relation/237737	place=village	Colfax	ti’natpa’ama [Nez Perce]	Nez Perce	https://www.openstreetmap.org/relation/237737
relation/18100778	place=village	Quil Ceda Village	qʷəl'sidəʔ ʔalʔaltəd [Lushootseed]	Lushootseed	https://www.openstreetmap.org/relation/18100778
node/150945797	place=village	Wa'atch	waʔač̓ [Makah]	Makah	https://www.openstreetmap.org/node/150945797
relation/2183775	waterway=river	Columbia River	xuyelp [Nez Perce]	Nez Perce	https://www.openstreetmap.org/relation/2183775
way/227382986	waterway=river	Deschutes River	slah chess River [Lushootseed]	Lushootseed	https://www.openstreetmap.org/way/227382986
relation/10721697	waterway=river	Elwha River	ʔéʔɬx̣ʷaʔ [Klallam]	Klallam	https://www.openstreetmap.org/relation/10721697
relation/19557240	waterway=river	Ozette River	ʔuse·ʔiɫ [Makah]	Makah	https://www.openstreetmap.org/relation/19557240
way/37786032	waterway=river	Stillaguamish River	Sto-Lit-Qua-Mish River [Lushootseed]	Lushootseed	https://www.openstreetmap.org/way/37786032
way/37324516	waterway=river	Tsoo-Yess River	c̓u·yas [Makah]	Makah	https://www.openstreetmap.org/way/37324516
